"","pop","individual","value","cluster","cluster_size"
"501",1,21,1,"Cluster 3",3
"502",1,21,1,"Cluster 4",29
"503",1,21,1,"Cluster 5",1
"504",1,21,1,"Cluster 6",9
"505",1,21,1,"Cluster 7",2
"506",1,21,1,"Cluster 8",6
"507",1,21,1,"Cluster 9",3
"508",1,21,2,"Cluster 1",33
"509",1,21,2,"Cluster 10",41
"510",1,21,2,"Cluster 11",3
"511",1,21,2,"Cluster 2",69
"512",1,21,2,"Cluster 3",65
"513",1,21,2,"Cluster 4",5
"514",1,21,2,"Cluster 5",102
"515",1,21,2,"Cluster 6",43
"516",1,21,2,"Cluster 7",36
"517",1,21,2,"Cluster 8",22
"518",1,21,2,"Cluster 9",28
"519",1,22,1,"Cluster 1",83
"520",1,22,1,"Cluster 2",6
"521",1,22,1,"Cluster 3",58
"522",1,22,1,"Cluster 4",100
"523",1,22,1,"Cluster 5",38
"524",1,22,1,"Cluster 6",6
"525",1,22,1,"Cluster 7",131
"526",1,22,1,"Cluster 8",18
"527",1,22,2,"Cluster 1",8
"528",1,22,2,"Cluster 10",34
"529",1,22,2,"Cluster 2",17
"530",1,22,2,"Cluster 3",11
"531",1,22,2,"Cluster 4",2
"532",1,22,2,"Cluster 5",118
"533",1,22,2,"Cluster 6",2
"534",1,22,2,"Cluster 7",3
"535",1,22,2,"Cluster 8",14
"536",1,22,2,"Cluster 9",1
"537",1,23,1,"Cluster 1",15
"538",1,23,1,"Cluster 10",26
"539",1,23,1,"Cluster 11",45
"540",1,23,1,"Cluster 12",49
"541",1,23,1,"Cluster 13",14
"542",1,23,1,"Cluster 14",18
"543",1,23,1,"Cluster 15",40
"544",1,23,1,"Cluster 2",23
"545",1,23,1,"Cluster 3",11
"546",1,23,1,"Cluster 4",60
"547",1,23,1,"Cluster 5",19
"548",1,23,1,"Cluster 6",9
"549",1,23,1,"Cluster 7",10
"550",1,23,1,"Cluster 8",3
"551",1,23,1,"Cluster 9",4
"552",1,23,2,"Cluster 1",5
"553",1,23,2,"Cluster 10",53
"554",1,23,2,"Cluster 11",3
"555",1,23,2,"Cluster 12",61
"556",1,23,2,"Cluster 13",3
"557",1,23,2,"Cluster 14",17
"558",1,23,2,"Cluster 15",18
"559",1,23,2,"Cluster 16",1
"560",1,23,2,"Cluster 17",10
"561",1,23,2,"Cluster 2",20
"562",1,23,2,"Cluster 3",5
"563",1,23,2,"Cluster 4",3
"564",1,23,2,"Cluster 5",14
"565",1,23,2,"Cluster 6",17
"566",1,23,2,"Cluster 7",17
"567",1,23,2,"Cluster 8",2
"568",1,23,2,"Cluster 9",1
