p1_mean_weights,p1_sd_weights,p2_mean_weights,p2_sd_weights,mean_bias,sd_bias,data_type
0.47434267,0.45887077,0.4785946,0.36969516,2.151094,1.9834682,test_pred
0.47670066,0.32272336,0.4777734,0.1865913,2.5285614,4.9835224,test_pred
0.5011067,0.28412735,0.44427136,0.2688196,2.4497838,4.5298495,test_pred
0.47399113,0.26260608,0.47995403,0.33722982,0.6939318,4.642228,test_pred
0.4649002,0.43118867,0.4894715,0.33682764,3.15199,2.580686,test_pred
0.45999807,0.37439924,0.4995263,0.11911693,3.3450084,4.9151173,test_pred
0.46668777,0.45211196,0.48012176,0.24611256,2.7723148,3.3830602,test_pred
0.46204606,0.20427835,0.48075652,0.17146234,2.1521742,5.852858,test_pred
0.5065354,0.2196083,0.4741917,0.17729038,1.7910857,6.2502766,test_pred
0.49743697,0.4238676,0.4618972,0.31752464,1.0946441,3.084738,test_pred
0.50950277,0.1635197,0.48303702,0.14656612,1.4126345,6.3904715,test_pred
0.44966084,0.3352097,0.4798096,0.37509942,1.1591511,3.062583,test_pred
0.4901067,0.43996245,0.44445857,0.36587262,3.1340008,2.2825086,test_pred
0.46698332,0.33995757,0.4561779,0.37632588,3.5956118,3.344194,test_pred
0.47723192,0.19260688,0.47941393,0.08455774,2.4290876,6.8616533,test_pred
0.4640619,0.12329182,0.47395936,0.6257306,1.5750314,3.5211434,test_pred
0.47643322,0.39457047,0.4800156,0.16915278,0.91215444,4.91603,test_pred
0.46267548,0.08513499,0.49874967,0.30470973,2.5318754,5.473574,test_pred
0.45451713,0.2513482,0.5145822,0.2600053,1.6847401,4.406536,test_pred
0.49504077,0.34290445,0.46637905,0.3267244,1.3722968,3.2634845,test_pred
0.4061093,0.35748994,0.53710544,0.39344606,2.4917626,2.6611896,test_pred
0.5048898,0.27035305,0.46276355,0.33051756,1.2157736,4.2671366,test_pred
0.46924338,0.34939188,0.45175686,0.5526862,1.3501053,2.1609817,test_pred
0.47552165,0.4188382,0.47866875,0.21339494,2.7970502,4.14415,test_pred
0.4627561,0.42104477,0.4984279,0.2685028,2.421023,3.209862,test_pred
0.4892233,0.42045358,0.42641678,0.09980531,2.0280666,5.31874,test_pred
0.47000203,0.42206487,0.47582832,0.3191986,1.8618656,2.5460927,test_pred
0.49337646,0.19014293,0.46065515,0.32948095,1.087283,4.8835406,test_pred
0.46422365,0.43028197,0.5064145,0.31877103,1.7378299,2.9069161,test_pred
0.47340798,0.6422427,0.46829125,0.2972584,2.7067194,1.3994406,test_pred
0.4158353,0.46484587,0.5323114,0.37156823,2.3756683,1.9816664,test_pred
0.51710683,0.45770156,0.44654307,0.46495658,0.98812664,1.4089801,test_pred
0.44612542,0.34886912,0.5074781,0.37410507,2.2658315,2.8692448,test_pred
0.44711834,0.40428606,0.4818177,0.412687,2.9848318,2.2425442,test_pred
0.49654195,0.3658364,0.45589983,0.27708107,1.5272931,3.8299694,test_pred
0.44478554,0.24044922,0.47812817,0.12964886,3.9973068,5.748563,test_pred
0.5343377,0.24515837,0.4541971,0.2849531,1.5626537,4.9095964,test_pred
0.46879083,0.25773168,0.47638896,0.21115893,2.6169462,5.057378,test_pred
0.45580208,0.3771116,0.48681217,0.090958565,2.7902915,5.431155,test_pred
0.5036213,0.3526228,0.452598,0.43442783,1.2018186,2.7373874,test_pred
0.48126704,0.24038117,0.4904815,0.35523728,1.2371311,4.1888957,test_pred
0.46158022,0.3191542,0.47680926,0.43541196,2.7689373,2.670517,test_pred
0.46195787,0.5419505,0.46821737,0.38876927,2.439332,0.95982915,test_pred
0.46386528,0.45294976,0.49949938,0.3557464,0.93621,2.4135578,test_pred
0.48554045,0.34723535,0.47691083,0.34624833,1.7134945,3.5837207,test_pred
0.4758223,0.31671792,0.4588895,0.47514176,2.0656137,3.0315075,test_pred
0.47400168,0.53580487,0.4867785,0.2551495,2.1472552,2.7959468,test_pred
0.46123832,0.16115525,0.47236022,0.17529899,3.27804,6.838953,test_pred
0.4817644,0.29314733,0.45996273,0.19334498,2.5526981,4.40729,test_pred
0.44746223,0.36886537,0.48947653,0.37037143,2.2990944,2.5609088,test_pred
0.42526445,0.39987916,0.50762105,0.38547975,3.7466273,2.7409854,test_pred
0.44391343,0.46775594,0.49815935,0.44466358,2.4273195,1.8171031,test_pred
0.48473707,0.35576415,0.46676224,0.4053525,1.0302418,2.8412747,test_pred
0.42628625,0.39488763,0.52246016,0.4477994,2.1458776,2.15476,test_pred
0.46376482,0.08095562,0.4883675,0.4762083,2.498658,5.1959124,test_pred
0.48245087,0.51364714,0.46172428,0.29912814,1.984736,2.2657216,test_pred
0.460013,0.23331767,0.48412848,0.5191004,1.7778125,2.5412555,test_pred
0.4475686,0.1996264,0.5083441,0.22313802,2.6395724,6.2834654,test_pred
0.46128783,0.30947578,0.50422937,0.42725223,1.7783699,2.9891224,test_pred
0.46967503,0.52948517,0.48961914,0.3661098,1.8383179,1.771948,test_pred
0.4715182,0.13722545,0.4910833,0.028388947,2.4449806,7.85573,test_pred
0.48349768,0.24843454,0.47194195,0.25642648,1.7677943,4.8372307,test_pred
