pop,individual,indi_count_per_pop_trait,val_mean,val_sd,log_val_mean,exp_val_sd,d_type
14,164,6,78.5,8.57321409974112,4.363098624788363,5288.098982818743,test
14,165,6,85.0,13.8708327075198,4.442651256490317,1056881.033594864,test
14,166,7,79.5714285714286,10.5492044385211,4.376655090871971,38147.07789090972,test
14,167,7,78.4285714285714,9.81252843489966,4.362188292454217,18261.100759684763,test
14,168,4,82.75,5.90903263374528,4.415824014257172,368.34965397823464,test
14,169,6,80.8333333333333,10.3037210107158,4.392389421709428,29843.460339539743,test
14,170,7,72.2857142857143,9.30437685024788,4.280626520232152,10985.998202089775,test
14,172,6,79.5,8.50294066779253,4.375757021660286,4929.242813879159,test
14,173,6,82.5,11.0408333018844,4.412798293340635,62369.60285182154,test
14,174,6,83.6666666666667,9.72967967955095,4.426840650463674,16809.16713805574,test
14,175,6,77.3333333333333,9.60555394897487,4.3481250829982,14847.012550989133,test
14,176,6,79.8333333333333,9.70395108533976,4.3799411281828595,16382.206992206031,test
14,177,6,83.1666666666667,8.08496547096317,4.420846626523464,3245.30777631686,test
14,178,6,79.6666666666667,8.77876225140348,4.377851263263401,6494.833225471778,test
14,179,6,80.3333333333333,8.33466656001706,4.386184644822545,4165.812276754739,test
14,180,6,78.3333333333333,9.58471004604034,4.360973225476049,14540.745847743103,test
14,181,6,79.6666666666667,8.52447456836295,4.377851263263401,5036.53975315173,test
14,182,6,81.8333333333333,12.9524772405385,4.404684658566465,421880.4421928884,test
14,183,6,78.5,11.7089709197692,4.363098624788363,121658.22035770178,test
14,184,6,80.5,10.5214067500501,4.388257184424518,37101.2800260459,test
14,185,6,83.6666666666667,9.0921211313239,4.426840650463674,8885.012356690384,test
14,186,6,77.5,8.59651092013498,4.350277936359301,5412.741120469327,test
14,187,6,77.5,7.44983221287567,4.350277936359301,1719.5745986924044,test
14,188,6,81.5,9.89444288477123,4.400603020246817,19819.92224405784,test
14,189,6,79.1666666666667,8.20771994324043,4.371555334806587,3669.167012590695,test
14,190,7,76.0,9.9666109251507,4.330733340286331,21303.164849653313,test
14,191,6,84.3333333333333,11.4309521329882,4.43477720005941,92129.65275210989,test
14,192,7,76.0,8.48528137423857,4.330733340286331,4842.959957444093,test
14,193,6,79.3333333333333,7.28468713581213,4.373658385003365,1457.8049665348253,test
14,194,7,77.2857142857143,8.53842853836477,4.3475091297911685,5107.312107075962,test
14,195,6,78.8333333333333,8.8411914732499,4.367335919263877,6913.224657517303,test
14,196,7,80.7142857142857,10.889050857234,4.390915582091127,53586.41466733028,test
14,197,6,83.8333333333333,8.56543441202293,4.428830700871684,5247.118837165861,test
14,198,6,82.8333333333333,8.90879715038269,4.4168305568685735,7396.758556945813,test
14,199,6,84.1666666666667,11.4090607267499,4.432798960047305,90134.72070034863,test
14,200,6,81.1666666666667,7.67897562612792,4.396504653854535,2162.403527235547,test
15,1,6,83.0,7.37563556583431,4.418840607796598,1596.60625648512,eval
15,2,5,84.2,13.5535973084639,4.4331949212482815,769577.7820689685,eval
15,3,6,83.0,9.67470929795826,4.418840607796598,15910.098270429962,train
15,4,6,76.0,7.97496081495075,4.330733340286331,2907.243949372466,eval
15,5,6,83.1666666666667,12.0402104079068,4.420846626523464,169432.58666598497,train
15,6,5,80.2,9.06642156531451,4.384523514872469,8659.580552302848,train
15,7,6,83.8333333333333,12.0733867107232,4.428830700871684,175148.01768060683,train
15,8,6,81.8333333333333,7.62670745909837,4.404684658566465,2052.281662090434,train
15,9,6,85.6666666666667,11.6733314296591,4.45046379622711,117398.73716821233,train
15,10,6,80.6666666666667,10.3473023859684,4.390325437488577,31172.837010763476,train
15,11,6,84.0,18.8255146012001,4.430816798843313,149905342.2504719,eval
15,12,5,80.2,7.69415362466854,4.384523514872469,2195.4748280051917,train
15,13,6,81.0,8.24621125123532,4.394449154672439,3813.1513462269327,train
15,14,6,81.5,9.07193474403338,4.400603020246817,8707.454214284868,train
15,15,6,86.8333333333333,10.4387100097027,4.4639905725253115,34156.562372075845,train
15,16,6,84.5,10.3295692068934,4.436751534363128,30624.916058410163,eval
15,17,6,82.8333333333333,10.9437958070619,4.4168305568685735,56601.785354634856,train
15,19,6,80.6666666666667,9.4798030921885,4.390325437488577,13092.608223508669,train
15,20,5,81.6,8.84872872225158,4.401829261970061,6965.5282180311315,train
15,21,6,87.6666666666667,12.5326240934078,4.473541743509656,277235.9127850171,train
15,22,5,81.2,9.83361581515162,4.396915247167632,18650.26837691662,train
15,23,6,81.5,8.87130204648675,4.400603020246817,7124.551433738743,train
15,24,6,90.0,8.87693640846886,4.499809670330265,7164.807036298637,train
15,27,6,82.6666666666667,10.4434987751551,4.4148164574968725,34320.52240768176,train
15,28,5,84.4,5.68330889535313,4.4355674016019115,293.92037442090395,train
15,29,6,81.6666666666667,12.0443624433453,4.402645921876617,170137.53925157146,train
15,30,5,83.8,10.9863551735778,4.428433007488037,59062.717902146236,eval
15,32,5,83.6,11.4367827643966,4.426043520090656,92668.3958791199,train
15,33,6,80.3333333333333,8.86942313043338,4.386184644822545,7111.177567797048,train
15,34,6,82.5,12.6293309403151,4.412798293340635,305385.7285481562,train
15,35,6,84.5,11.9289563667573,4.436751534363128,151593.27131766954,train
15,36,6,79.8333333333333,9.21773652621221,4.3799411281828595,10074.235733417292,eval
15,37,5,81.6,6.02494813255683,4.401829261970061,413.6201880450544,train
15,38,6,80.1666666666667,10.3810725200562,4.384107800877707,32243.52478023193,train
15,39,5,88.8,19.3958758502935,4.486386649998124,265168452.09804663,train
15,40,6,83.1666666666667,9.92807467068347,4.420846626523464,20497.83747798693,train
15,41,6,79.3333333333333,9.62635271879577,4.373658385003365,15159.045853554515,train
15,42,6,79.6666666666667,12.8478273130778,4.377851263263401,379962.2987929501,eval
15,43,6,84.8333333333333,9.9079092984679,4.440688547322467,20088.63072550264,train
15,44,6,85.3333333333333,12.4204133049857,4.446565155811452,247808.93503823513,train
15,45,6,85.1666666666667,11.8222953214114,4.44461012097565,136256.62312167505,train
15,46,6,82.1666666666667,8.75023809199879,4.408749704814635,6312.19081131813,train
15,47,6,85.8333333333333,8.97589364167528,4.452407431435681,7910.083695469202,train
15,48,6,84.3333333333333,9.60555394897487,4.43477720005941,14847.012550989133,train
15,49,5,80.2,6.05805249234438,4.384523514872469,427.5419842576108,train
15,50,6,84.0,9.69535971483266,4.430816798843313,16242.064253321614,train
15,51,6,88.0,10.8811764069884,4.477336814478207,53166.10812449759,train
15,52,5,81.4,10.4546640309481,4.399375273008495,34705.867051898924,eval
15,53,6,83.0,9.50789145920377,4.418840607796598,13465.57165467985,train
15,54,6,82.5,8.43208159353312,4.412798293340635,4592.04893047152,train
15,55,5,80.6,5.41294744108974,4.389498649512583,224.29170095564544,train
15,56,6,83.1666666666667,11.3915173118714,4.420846626523464,88567.23958782954,eval
15,57,6,83.0,9.9196774141098,4.418840607796598,20326.432550258527,eval
15,58,5,85.0,13.3790881602597,4.442651256490317,646344.6537688558,eval
15,59,6,80.3333333333333,9.52190457139047,4.386184644822545,13655.594517267586,train
15,60,6,92.0,15.582040944626,4.5217885770490405,5850519.066721935,eval
15,61,6,83.1666666666667,8.75023809199879,4.420846626523464,6312.19081131813,train
15,62,6,78.5,7.34166193719106,4.363098624788363,1543.274809358411,train
15,63,6,82.0,11.47170431976,4.406719247264253,95961.68918016634,train
15,64,6,78.0,11.0272390016722,4.356708826689592,61527.468827088596,train
15,65,6,82.0,8.39047078536121,4.406719247264253,4404.89096434453,train
15,66,6,84.0,12.7593103261893,4.430816798843313,347774.7663862318,train
15,67,6,81.0,8.94427190999916,4.394449154672439,7663.866573592076,train
15,68,6,87.3333333333333,16.5005050427757,4.469732215092987,14658120.537740862,train
15,69,6,82.3333333333333,9.24481836850604,4.410776047959867,10350.792527901105,train
15,70,5,85.0,13.1339255365637,4.442651256490317,505814.62963982206,train
15,71,5,76.8,7.04982269280583,4.341204640153626,1152.6543507550548,eval
15,72,6,82.8333333333333,10.5908765768782,4.4168305568685735,39770.335607579,train
15,73,6,84.6666666666667,11.9777571634537,4.4387219783504275,159174.62730307327,eval
15,74,6,81.6666666666667,8.54790422657312,4.402645921876617,5155.937419502187,train
15,75,6,82.5,12.0124934963562,4.412798293340635,164800.9228658883,train
15,76,5,81.8,7.46324326281812,4.404277243608702,1742.7912312542778,eval
15,77,6,85.1666666666667,12.1229809315476,4.44461012097565,184053.3484043349,eval
15,78,6,81.0,10.1587400793602,4.394449154672439,25815.750763945944,eval
15,79,5,84.6,11.2605506082074,4.437934266612178,77695.34372239647,train
15,80,5,78.6,10.7377837564369,4.364371699435161,46063.84999674101,eval
15,81,6,81.8333333333333,10.3231132255084,4.404684658566465,30427.83901778155,train
15,82,6,83.0,11.6961532137708,4.418840607796598,120108.79232671768,eval
15,83,6,83.0,11.6961532137708,4.418840607796598,120108.79232671768,train
15,84,6,83.5,11.273863579093,4.42484663185681,78736.61540197633,train
15,85,6,79.6666666666667,10.2696965226177,4.377851263263401,28845.131992907947,eval
15,86,5,78.0,6.92820323027551,4.356708826689592,1020.6584429087914,train
15,88,6,84.5,12.6609636284131,4.436751534363128,315200.3125043246,train
15,89,6,81.6666666666667,11.5181016954473,4.402645921876617,100518.96503027593,eval
15,90,5,87.0,8.18535277187245,4.465908118654584,3588.0091447248774,train
15,91,6,82.3333333333333,13.8371480683942,4.410776047959867,1021873.2989131262,train
15,92,6,83.5,9.24662100445346,4.42484663185681,10369.46806613728,train
15,93,5,76.2,7.04982269280583,4.333361462692601,1152.6543507550548,train
15,94,6,84.6666666666667,13.0792456459334,4.4387219783504275,478899.3101942292,train
15,95,6,79.5,8.84872872225158,4.375757021660286,6965.5282180311315,train
15,96,6,81.1666666666667,8.77306483885003,4.396504653854535,6457.934694010623,train
15,97,6,83.8333333333333,12.0899407222148,4.428830700871684,178071.5513204451,train
15,99,6,84.8333333333333,11.373946837693,4.440688547322467,87024.662779941,train
15,100,6,85.1666666666667,12.2215656389297,4.44461012097565,203122.72640688522,train
15,101,5,87.2,8.34865258589672,4.468204330914934,4224.484776212925,eval
15,103,6,80.3333333333333,8.06639117986889,4.386184644822545,3185.584857474209,eval
15,104,6,82.3333333333333,9.26642685541016,4.410776047959867,10576.891523712706,train
15,105,6,79.8333333333333,9.17423929634859,4.3799411281828595,9645.42796787411,train
15,106,5,82.4,7.02139587261678,4.411585436915426,1120.3493918132317,train
15,107,6,86.0,17.8549712965325,4.454347296253507,56795706.81163267,train
15,109,5,80.4,6.10737259384099,4.387014176184921,449.157045496616,train
15,110,6,82.5,8.68907359849138,4.412798293340635,5937.679019205332,eval
15,111,6,83.5,9.24662100445346,4.42484663185681,10369.46806613728,train
15,113,6,81.6666666666667,9.4798030921885,4.402645921876617,13092.608223508669,train
