"","pop","individual","mean_value","sd_value"
"1534",8,145,7.94253719168438,6.68539294382585
"1535",8,146,9.51396576311295,3.95681531791859
"1536",8,147,15.8550306402059,9.89116099848182
"1537",8,148,15.7996800488272,4.43858318793114
"1538",8,149,10.5433816131389,3.84344964338867
"1539",8,150,7.44786210244931,4.91012417388116
"1540",8,151,14.7972085980443,9.32572190437872
"1541",8,152,10.7100482798055,3.54493957036025
"1542",8,153,10.8228621024493,6.60177049567941
"1543",8,154,8.32286210244931,5.34788423007998
"1544",8,155,9.37110862025581,11.6664427605499
"1545",8,156,10.0853943345415,6.64228878270308
"1546",8,157,7.82286210244931,6.7303108977926
"1547",8,158,10.0728621024493,4.97876737172659
"1548",8,159,8.94253719168438,7.43160414873245
"1549",8,160,10.2282514773987,5.44323612490921
"1550",8,161,10.9425371916844,11.1144829644639
"1551",8,162,15.0853943345415,4.85351260838753
"1552",8,163,14.1779180223767,9.40872152296808
"1553",8,164,10.2340008788003,7.9575160792191
"1554",8,165,8.08539433454152,4.02325766763168
"1555",8,166,7.04338161313888,5.03749479842872
"1556",8,167,7.08539433454152,6.81190589066149
"1557",8,168,10.7100482798055,3.76136721565511
"1558",8,169,10.8228621024493,5.00149477717339
"1559",8,170,9.69786210244931,4.89950578593019
"1560",8,171,8.87671494647221,4.73809897470406
"1561",8,172,13.0853943345415,8.41798834407441
"1562",8,173,10.6568229059701,6.19715385762298
"1563",8,174,5.37671494647222,4.07967099169196
"1564",8,175,10.5139657631129,5.10007994239405
"1565",8,176,7.94786210244931,4.86104573235299
"1566",8,177,8.03506087951959,5.86869654817373
"1567",8,178,4.3711086202558,5.56013755477044
"1568",8,179,10.6568229059701,5.74991737862998
"1569",8,180,9.65682290597009,5.65329531678337
"1570",8,181,6.17791802237674,5.60005532740847
"1571",8,182,10.0853943345415,4.92412364422312
"1572",8,183,4.69786210244931,4.9185867719785
"1573",8,184,6.22825147739866,4.26969476282211
"1574",8,185,7.65682290597009,7.07920735127644
"1575",8,186,11.6978621024493,5.81502731731636
"1576",8,187,4.65682290597009,5.19652794117218
"1577",8,188,12.3207751652339,9.60436611192796
"1578",8,189,5.22825147739866,4.61014769821177
"1579",8,190,3.65682290597009,5.19510029283135
"1580",8,191,7.94253719168438,4.45156387164217
"1581",8,192,17.5433816131389,2.56463781228162
"1582",8,193,6.08539433454152,7.09330663920355
"1583",8,194,12.2282514773987,10.422832586684
"1584",8,195,9.79968004882723,5.75881622825801
"1585",8,196,5.94253719168438,6.36889031963136
"1586",8,197,9.79968004882723,6.84472618382665
"1587",8,198,12.6090008788003,10.8068403801293
"1588",8,199,6.44786210244931,5.14229365089418
"1589",8,200,11.6568229059701,5.16794614188844
"1590",9,1,6.82286210244931,3.69839730411438
"1591",9,2,10.2282514773987,5.8709442947392
"1592",9,3,5.51396576311295,2.30354334436522
"1593",9,4,7.79968004882723,3.03739348473752
"1594",9,5,6.07286210244931,5.47418870281909
"1595",9,6,2.22825147739866,3.07474646830366
"1596",9,7,7.65682290597009,5.30303656967911
"1597",9,8,6.3711086202558,9.08106527318903
"1598",9,9,4.22825147739866,6.13531867430536
