"pop","individual","val_mean_oil","val_mean_protein","val_mean_silk","val_mean_starch","val_mean_tassel","val_sd_oil","val_sd_protein","val_sd_silk","val_sd_starch","val_sd_tassel"
1,55,4.024,12.714,75.8571428571429,69.814,74.4285714285714,0.52775941488523,0.900349931970898,11.7958830590532,1.1745339501266,11.0883894661209
1,56,3.714,14.852,73.6666666666667,66.684,72.1666666666667,0.377133928465737,1.39431703711889,7.06163342766153,1.3159331290001,5.98052394583172
1,57,3.895,13.8783333333333,74.4285714285714,67.945,72.5714285714286,0.371092980262359,0.716865863789501,8.42332362861483,1.78242250883454,8.05930399925334
1,59,4.735,13.2075,79.7142857142857,67.1975,76.7142857142857,0.462925479964108,0.270477971992791,7.18132498717532,0.91656514589344,6.10230245383619
1,60,3.65571428571429,14.16,74,65.3157142857143,72.5714285714286,0.304568390943487,0.833346666560002,7.09459888459759,2.70808577623173,7.97615493950861
1,61,3.745,13.27,75.1666666666667,69.04,73.1666666666667,0.302307790174187,1.92898937270271,12.4324843320499,0.983849581999197,11.4440668761881
1,62,3.232,13.2,76.4285714285714,67.136,75,0.533685300528317,1.79146588022212,9.3782930724296,3.77376867335559,8.90692614392492
1,63,3.91142857142857,14.6414285714286,79.7142857142857,67.8271428571429,77,0.416230247636592,1.21659947629213,9.6904469404028,1.64919893974534,8.83176086632785
1,65,3.99,12.332,72.6666666666667,69.12,72.3333333333333,0.429243520626695,1.2459012801984,10.7269131937695,1.90105234015268,9.3523615556001
1,66,3.675,12.7425,77,67.05,77.8,0.790548332909928,1.39236908421103,7.53657747256671,3.18431572973954,6.83373982530795
1,67,4.05857142857143,13.1928571428571,76.2857142857143,70.3571428571429,74.5714285714286,0.646437121753502,1.22385612288529,13.7078357848627,1.87367476976586,12.1498579258791
1,68,3.195,15.1533333333333,75,68.2666666666667,74,0.768212210264846,0.678164188575795,9.34523051258412,0.827566714329829,9.18331820930394
1,69,3.90833333333333,11.7516666666667,74.1666666666667,70.8383333333333,72.1666666666667,0.299026197291586,0.408970251566867,9.02034736951225,1.07246289757113,8.81854107359413
1,70,3.92,12.9733333333333,76.1428571428571,68.6716666666667,72.5714285714286,0.692618220955816,0.651725913760276,9.68553167407571,0.854316490925155,9.03432607442567
1,71,4.114,12.296,78,68.238,74.6666666666667,0.551479827373586,1.00540041774409,9.5655632348545,0.958159694414247,7.99166232186187
1,72,3.6375,13.9875,72.4,69.655,69.8,0.449916658949188,1.05727243414363,6.34822809924155,3.50322232618295,6.09918027279076
1,73,2.99,11.988,76.3333333333333,70.952,74,0.401621712560464,1.22789250343831,8.6178110136314,1.43663495711332,7.15541752799933
1,74,4.072,11.288,77.8333333333333,66.58,75.5,0.553732787542872,0.855114027484054,9.28260021042955,2.58662908048294,8.89381807774366
1,75,3.864,12.04,75.1428571428571,72.31,73.4285714285714,0.438725426662281,0.554256258422041,10.2213595219125,1.24233650835834,9.60654538768824
1,76,3.33166666666667,14.6333333333333,77,68.5516666666667,74.5714285714286,0.622781395568836,1.70481279519678,9.53939201416946,1.95305316534565,8.24332341670403
1,78,4.22166666666667,14.0233333333333,72,67.555,70.4285714285714,0.349366092611557,0.963299884079027,9.52190457139047,0.90383073636605,8.44308677473555
1,79,4.622,11.532,75.2,71.606,72.6,0.624395707864812,0.582468883289056,5.11859355682789,2.06524332706826,4.27784992724149
1,80,4.39428571428571,13.65,77.1428571428571,69.6885714285714,74,0.348274658990915,0.684446248193872,8.89622712968015,1.29701488775095,7.81024967590665
1,81,3.825,12.835,77.1666666666667,69.555,76,0.353143030513134,1.65338138371036,11.5830335692627,1.70156104797918,12.0166551086398
